NOAA/NOS/CO-OPS
Disclaimer: These data are based upon the latest information available as of the date of your request, and may differ from the published tide tables.
Annual Tide Predictions
StationName: SALEM, SALEM HARBOR 
State: MA 
Stationid: 8442645
Prediction Type: Harmonic
From: 20220101 03:01 - 20221231 18:18
Units: Feet and Centimeters
Time Zone: LST_LDT
Datum: MLLW
Interval Type: High/Low

Date 		Day	Time		Pred(Ft)	Pred(cm)	High/Low
2022/01/13	Thu	01:29 AM	1.64		50			L
2022/01/13	Thu	07:55 AM	8.95		273			H
2022/01/13	Thu	02:18 PM	1.01		31			L
2022/01/13	Thu	08:34 PM	7.63		233			H
2022/01/14	Fri	02:18 AM	1.79		55			L
2022/01/14	Fri	08:43 AM	8.96		273			H
2022/01/14	Fri	03:07 PM	0.93		28			L
2022/01/14	Fri	09:23 PM	7.60		232			H
2022/01/15	Sat	03:05 AM	1.85		56			L
2022/01/15	Sat	09:27 AM	9.00		274			H
2022/01/15	Sat	03:51 PM	0.82		25			L
2022/01/15	Sat	10:07 PM	7.62		232			H
2022/01/16	Sun	03:47 AM	1.82		55			L
2022/01/16	Sun	10:08 AM	9.08		277			H
2022/01/16	Sun	04:31 PM	0.71		22			L
2022/01/16	Sun	10:46 PM	7.67		234			H
2022/01/17	Mon	04:27 AM	1.74		53			L
2022/01/17	Mon	10:46 AM	9.17		280			H
2022/01/17	Mon	05:08 PM	0.59		18			L
2022/01/17	Mon	11:22 PM	7.77		237			H
2022/01/18	Tue	05:05 AM	1.62		49			L
2022/01/18	Tue	11:22 AM	9.27		283			H
2022/01/18	Tue	05:44 PM	0.47		14			L
2022/01/18	Tue	11:57 PM	7.91		241			H
2022/01/19	Wed	05:44 AM	1.47		45			L
2022/01/19	Wed	11:58 AM	9.37		286			H
2022/01/19	Wed	06:20 PM	0.34		10			L
2022/01/20	Thu	12:32 AM	8.09		247			H
2022/01/20	Thu	06:23 AM	1.31		40			L
2022/01/20	Thu	12:35 PM	9.42		287			H
2022/01/20	Thu	06:58 PM	0.24		7			L
2022/01/21	Fri	01:09 AM	8.32		254			H
2022/01/21	Fri	07:05 AM	1.15		35			L
2022/01/21	Fri	01:15 PM	9.42		287			H
2022/01/21	Fri	07:37 PM	0.18		5			L
2022/01/22	Sat	01:49 AM	8.59		262			H
2022/01/22	Sat	07:50 AM	0.98		30			L
2022/01/22	Sat	01:58 PM	9.33		284			H
2022/01/22	Sat	08:19 PM	0.19		6			L
2022/01/23	Sun	02:31 AM	8.85		270			H
2022/01/23	Sun	08:38 AM	0.82		25			L
2022/01/23	Sun	02:46 PM	9.15		279			H
2022/01/23	Sun	09:04 PM	0.27		8			L
2022/01/24	Mon	03:18 AM	9.11		278			H
2022/01/24	Mon	09:31 AM	0.68		21			L
2022/01/24	Mon	03:38 PM	8.90		271			H
2022/01/24	Mon	09:53 PM	0.42		13			L
2022/01/25	Tue	04:09 AM	9.34		285			H
2022/01/25	Tue	10:28 AM	0.53		16			L
2022/01/25	Tue	04:36 PM	8.63		263			H
2022/01/25	Tue	10:46 PM	0.60		18			L
2022/01/26	Wed	05:05 AM	9.56		291			H
2022/01/26	Wed	11:29 AM	0.35		11			L
2022/01/26	Wed	05:40 PM	8.43		257			H
2022/01/26	Wed	11:43 PM	0.74		23			L
2022/01/27	Thu	06:05 AM	9.82		299			H
2022/01/27	Thu	12:32 PM	0.11		3			L
2022/01/27	Thu	06:46 PM	8.37		255			H
2022/01/28	Fri	12:44 AM	0.77		23			L
2022/01/28	Fri	07:07 AM	10.12		308			H
2022/01/28	Fri	01:36 PM	-0.21		-6			L
2022/01/28	Fri	07:51 PM	8.47		258			H
2022/01/29	Sat	01:45 AM	0.66		20			L
2022/01/29	Sat	08:09 AM	10.46		319			H
2022/01/29	Sat	02:38 PM	-0.56		-17			L
2022/01/29	Sat	08:53 PM	8.70		265			H
2022/01/30	Sun	02:46 AM	0.44		13			L
2022/01/30	Sun	09:09 AM	10.79		329			H
2022/01/30	Sun	03:37 PM	-0.90		-27			L
2022/01/30	Sun	09:53 PM	9.01		275			H
2022/01/31	Mon	03:44 AM	0.17		5			L
2022/01/31	Mon	10:06 AM	11.05		337			H
2022/01/31	Mon	04:32 PM	-1.16		-35			L
2022/01/31	Mon	10:47 PM	9.32		284			H
2022/02/01	Tue	04:40 AM	-0.09		-3			L
2022/02/01	Tue	11:01 AM	11.17		340			H
2022/02/01	Tue	05:23 PM	-1.28		-39			L
2022/02/01	Tue	11:39 PM	9.58		292			H
2022/02/02	Wed	05:33 AM	-0.25		-8			L
2022/02/02	Wed	11:52 AM	11.10		338			H
2022/02/02	Wed	06:12 PM	-1.23		-37			L
2022/02/03	Thu	12:28 AM	9.74		297			H
2022/02/03	Thu	06:24 AM	-0.27		-8			L
2022/02/03	Thu	12:42 PM	10.82		330			H
2022/02/03	Thu	06:59 PM	-1.01		-31			L
2022/02/04	Fri	01:16 AM	9.78		298			H
2022/02/04	Fri	07:15 AM	-0.16		-5			L
2022/02/04	Fri	01:31 PM	10.37		316			H
2022/02/04	Fri	07:46 PM	-0.65		-20			L
2022/02/05	Sat	02:03 AM	9.71		296			H
2022/02/05	Sat	08:06 AM	0.06		2			L
2022/02/05	Sat	02:21 PM	9.79		298			H
2022/02/05	Sat	08:31 PM	-0.18		-5			L
2022/02/06	Sun	02:50 AM	9.54		291			H
2022/02/06	Sun	08:57 AM	0.35		11			L
2022/02/06	Sun	03:11 PM	9.16		279			H
2022/02/06	Sun	09:18 PM	0.36		11			L
2022/02/07	Mon	03:38 AM	9.29		283			H
2022/02/07	Mon	09:49 AM	0.68		21			L
2022/02/07	Mon	04:03 PM	8.53		260			H
2022/02/07	Mon	10:06 PM	0.91		28			L
2022/02/08	Tue	04:29 AM	9.01		275			H
2022/02/08	Tue	10:43 AM	0.99		30			L
2022/02/08	Tue	04:59 PM	7.98		243			H
2022/02/08	Tue	10:56 PM	1.41		43			L
2022/02/09	Wed	05:22 AM	8.76		267			H
2022/02/09	Wed	11:41 AM	1.23		37			L
2022/02/09	Wed	05:58 PM	7.58		231			H
2022/02/09	Wed	11:50 PM	1.81		55			L
2022/02/10	Thu	06:18 AM	8.60		262			H
2022/02/10	Thu	12:40 PM	1.35		41			L
2022/02/10	Thu	06:59 PM	7.36		224			H
2022/02/11	Fri	12:46 AM	2.04		62			L
2022/02/11	Fri	07:14 AM	8.55		261			H
2022/02/11	Fri	01:38 PM	1.35		41			L
2022/02/11	Fri	07:56 PM	7.30		223			H
2022/02/12	Sat	01:40 AM	2.10		64			L
2022/02/12	Sat	08:07 AM	8.61		262			H
2022/02/12	Sat	02:31 PM	1.24		38			L
2022/02/12	Sat	08:49 PM	7.37		225			H
2022/02/13	Sun	02:32 AM	2.03		62			L
2022/02/13	Sun	08:56 AM	8.75		267			H
2022/02/13	Sun	03:20 PM	1.06		32			L
2022/02/13	Sun	09:36 PM	7.52		229			H
2022/02/14	Mon	03:19 AM	1.86		57			L
2022/02/14	Mon	09:40 AM	8.94		272			H
2022/02/14	Mon	04:02 PM	0.84		26			L
2022/02/14	Mon	10:17 PM	7.73		236			H
2022/02/15	Tue	04:02 AM	1.62		49			L
2022/02/15	Tue	10:21 AM	9.15		279			H
2022/02/15	Tue	04:41 PM	0.61		19			L
2022/02/15	Tue	10:54 PM	7.99		244			H
2022/02/16	Wed	04:42 AM	1.34		41			L
2022/02/16	Wed	10:59 AM	9.35		285			H
2022/02/16	Wed	05:17 PM	0.38		12			L
2022/02/16	Wed	11:29 PM	8.30		253			H
2022/02/17	Thu	05:21 AM	1.03		31			L
2022/02/17	Thu	11:36 AM	9.52		290			H
2022/02/17	Thu	05:53 PM	0.17		5			L
2022/02/18	Fri	12:04 AM	8.66		264			H
2022/02/18	Fri	06:01 AM	0.71		22			L
2022/02/18	Fri	12:14 PM	9.63		294			H
2022/02/18	Fri	06:29 PM	0.02		1			L
2022/02/19	Sat	12:40 AM	9.02		275			H
2022/02/19	Sat	06:43 AM	0.42		13			L
2022/02/19	Sat	12:54 PM	9.65		294			H
2022/02/19	Sat	07:08 PM	-0.05		-2			L
2022/02/20	Sun	01:19 AM	9.37		286			H
2022/02/20	Sun	07:28 AM	0.18		5			L
2022/02/20	Sun	01:37 PM	9.55		291			H
2022/02/20	Sun	07:50 PM	-0.01		-0			L
2022/02/21	Mon	02:02 AM	9.64		294			H
2022/02/21	Mon	08:16 AM	0.02		1			L
2022/02/21	Mon	02:25 PM	9.33		284			H
2022/02/21	Mon	08:36 PM	0.14		4			L
2022/02/22	Tue	02:49 AM	9.81		299			H
2022/02/22	Tue	09:09 AM	-0.03		-1			L
2022/02/22	Tue	03:18 PM	9.01		275			H
2022/02/22	Tue	09:25 PM	0.38		12			L
2022/02/23	Wed	03:41 AM	9.87		301			H
2022/02/23	Wed	10:06 AM	-0.00		0			L
2022/02/23	Wed	04:16 PM	8.65		264			H
2022/02/23	Wed	10:20 PM	0.66		20			L
2022/02/24	Thu	04:40 AM	9.86		301			H
2022/02/24	Thu	11:08 AM	0.06		2			L
2022/02/24	Thu	05:22 PM	8.36		255			H
2022/02/24	Thu	11:21 PM	0.88		27			L
2022/02/25	Fri	05:44 AM	9.87		301			H
2022/02/25	Fri	12:14 PM	0.04		1			L
2022/02/25	Fri	06:31 PM	8.26		252			H
2022/02/26	Sat	12:27 AM	0.95		29			L
2022/02/26	Sat	06:52 AM	9.99		304			H
2022/02/26	Sat	01:21 PM	-0.09		-3			L
2022/02/26	Sat	07:39 PM	8.39		256			H
2022/02/27	Sun	01:33 AM	0.83		25			L
2022/02/27	Sun	07:58 AM	10.19		311			H
2022/02/27	Sun	02:25 PM	-0.32		-10			L
2022/02/27	Sun	08:43 PM	8.68		265			H
2022/02/28	Mon	02:36 AM	0.56		17			L
2022/02/28	Mon	09:00 AM	10.43		318			H
2022/02/28	Mon	03:25 PM	-0.58		-18			L
2022/02/28	Mon	09:41 PM	9.06		276			H
2022/03/01	Tue	03:36 AM	0.22		7			L
2022/03/01	Tue	09:57 AM	10.62		324			H
2022/03/01	Tue	04:18 PM	-0.77		-23			L
2022/03/01	Tue	10:34 PM	9.43		287			H
2022/03/02	Wed	04:30 AM	-0.08		-2			L
2022/03/02	Wed	10:50 AM	10.67		325			H
2022/03/02	Wed	05:06 PM	-0.83		-25			L
2022/03/02	Wed	11:22 PM	9.71		296			H
2022/03/03	Thu	05:20 AM	-0.27		-8			L
2022/03/03	Thu	11:38 AM	10.55		322			H
2022/03/03	Thu	05:51 PM	-0.74		-23			L
2022/03/04	Fri	12:07 AM	9.87		301			H
2022/03/04	Fri	06:08 AM	-0.31		-9			L
2022/03/04	Fri	12:24 PM	10.25		312			H
2022/03/04	Fri	06:33 PM	-0.48		-15			L
2022/03/05	Sat	12:49 AM	9.87		301			H
2022/03/05	Sat	06:53 AM	-0.22		-7			L
2022/03/05	Sat	01:09 PM	9.82		299			H
2022/03/05	Sat	07:14 PM	-0.11		-3			L
2022/03/06	Sun	01:30 AM	9.75		297			H
2022/03/06	Sun	07:38 AM	-0.01		-0			L
2022/03/06	Sun	01:53 PM	9.31		284			H
2022/03/06	Sun	07:56 PM	0.34		10			L
2022/03/07	Mon	02:12 AM	9.52		290			H
2022/03/07	Mon	08:24 AM	0.28		9			L
2022/03/07	Mon	02:38 PM	8.77		267			H
2022/03/07	Mon	08:38 PM	0.83		25			L
2022/03/08	Tue	02:55 AM	9.21		281			H
2022/03/08	Tue	09:11 AM	0.62		19			L
2022/03/08	Tue	03:25 PM	8.23		251			H
2022/03/08	Tue	09:23 PM	1.31		40			L
2022/03/09	Wed	03:41 AM	8.87		270			H
2022/03/09	Wed	10:01 AM	0.98		30			L
2022/03/09	Wed	04:16 PM	7.75		236			H
2022/03/09	Wed	10:12 PM	1.75		53			L
2022/03/10	Thu	04:32 AM	8.55		261			H
2022/03/10	Thu	10:55 AM	1.29		39			L
2022/03/10	Thu	05:13 PM	7.38		225			H
2022/03/10	Thu	11:05 PM	2.09		64			L
2022/03/11	Fri	05:29 AM	8.33		254			H
2022/03/11	Fri	11:54 AM	1.49		45			L
2022/03/11	Fri	06:15 PM	7.18		219			H
2022/03/12	Sat	12:03 AM	2.27		69			L
2022/03/12	Sat	06:29 AM	8.26		252			H
2022/03/12	Sat	12:54 PM	1.53		47			L
2022/03/12	Sat	07:15 PM	7.18		219			H
2022/03/13	Sun	01:02 AM	2.25		69			L
2022/03/13	Sun	08:27 AM	8.35		255			H
2022/03/13	Sun	02:50 PM	1.41		43			L
2022/03/13	Sun	09:10 PM	7.34		224			H
2022/03/14	Mon	02:57 AM	2.07		63			L
2022/03/14	Mon	09:20 AM	8.55		261			H
2022/03/14	Mon	03:41 PM	1.18		36			L
2022/03/14	Mon	09:58 PM	7.62		232			H
2022/03/15	Tue	03:47 AM	1.77		54			L
2022/03/15	Tue	10:07 AM	8.81		269			H
2022/03/15	Tue	04:26 PM	0.89		27			L
2022/03/15	Tue	10:41 PM	7.99		244			H
2022/03/16	Wed	04:33 AM	1.37		42			L
2022/03/16	Wed	10:51 AM	9.09		277			H
2022/03/16	Wed	05:06 PM	0.59		18			L
2022/03/16	Wed	11:19 PM	8.42		257			H
2022/03/17	Thu	05:15 AM	0.92		28			L
2022/03/17	Thu	11:31 AM	9.36		285			H
2022/03/17	Thu	05:44 PM	0.30		9			L
2022/03/17	Thu	11:56 PM	8.89		271			H
2022/03/18	Fri	05:57 AM	0.45		14			L
2022/03/18	Fri	12:10 PM	9.58		292			H
2022/03/18	Fri	06:21 PM	0.06		2			L
2022/03/19	Sat	12:32 AM	9.37		286			H
2022/03/19	Sat	06:38 AM	-0.00		0			L
2022/03/19	Sat	12:50 PM	9.72		296			H
2022/03/19	Sat	06:59 PM	-0.10		-3			L
2022/03/20	Sun	01:10 AM	9.82		299			H
2022/03/20	Sun	07:21 AM	-0.38		-12			L
2022/03/20	Sun	01:33 PM	9.74		297			H
2022/03/20	Sun	07:40 PM	-0.14		-4			L
2022/03/21	Mon	01:51 AM	10.16		310			H
2022/03/21	Mon	08:07 AM	-0.62		-19			L
2022/03/21	Mon	02:18 PM	9.63		294			H
2022/03/21	Mon	08:24 PM	-0.06		-2			L
2022/03/22	Tue	02:36 AM	10.35		315			H
2022/03/22	Tue	08:57 AM	-0.70		-21			L
2022/03/22	Tue	03:08 PM	9.38		286			H
2022/03/22	Tue	09:12 PM	0.14		4			L
2022/03/23	Wed	03:25 AM	10.37		316			H
2022/03/23	Wed	09:50 AM	-0.61		-19			L
2022/03/23	Wed	04:02 PM	9.04		276			H
2022/03/23	Wed	10:04 PM	0.42		13			L
2022/03/24	Thu	04:20 AM	10.24		312			H
2022/03/24	Thu	10:49 AM	-0.40		-12			L
2022/03/24	Thu	05:03 PM	8.68		265			H
2022/03/24	Thu	11:03 PM	0.73		22			L
2022/03/25	Fri	05:22 AM	10.02		305			H
2022/03/25	Fri	11:52 AM	-0.16		-5			L
2022/03/25	Fri	06:10 PM	8.42		257			H
2022/03/26	Sat	12:07 AM	0.96		29			L
2022/03/26	Sat	06:30 AM	9.85		300			H
2022/03/26	Sat	01:00 PM	-0.02		-1			L
2022/03/26	Sat	07:21 PM	8.38		255			H
2022/03/27	Sun	01:16 AM	1.00		30			L
2022/03/27	Sun	07:41 AM	9.81		299			H
2022/03/27	Sun	02:07 PM	-0.03		-1			L
2022/03/27	Sun	08:29 PM	8.58		262			H
2022/03/28	Mon	02:24 AM	0.84		26			L
2022/03/28	Mon	08:48 AM	9.90		302			H
2022/03/28	Mon	03:11 PM	-0.15		-5			L
2022/03/28	Mon	09:31 PM	8.93		272			H
2022/03/29	Tue	03:28 AM	0.53		16			L
2022/03/29	Tue	09:50 AM	10.02		305			H
2022/03/29	Tue	04:08 PM	-0.28		-9			L
2022/03/29	Tue	10:27 PM	9.31		284			H
2022/03/30	Wed	04:27 AM	0.19		6			L
2022/03/30	Wed	10:46 AM	10.08		307			H
2022/03/30	Wed	04:59 PM	-0.34		-10			L
2022/03/30	Wed	11:17 PM	9.63		294			H
2022/03/31	Thu	05:19 AM	-0.08		-2			L
2022/03/31	Thu	11:36 AM	10.02		305			H
2022/03/31	Thu	05:45 PM	-0.28		-9			L
2022/04/01	Fri	12:01 AM	9.83		300			H
2022/04/01	Fri	06:06 AM	-0.23		-7			L
2022/04/01	Fri	12:22 PM	9.83		300			H
2022/04/01	Fri	06:26 PM	-0.09		-3			L
2022/04/02	Sat	12:41 AM	9.88		301			H
2022/04/02	Sat	06:49 AM	-0.24		-7			L
2022/04/02	Sat	01:04 PM	9.53		290			H
2022/04/02	Sat	07:04 PM	0.19		6			L
2022/04/03	Sun	01:19 AM	9.81		299			H
2022/04/03	Sun	07:29 AM	-0.14		-4			L
2022/04/03	Sun	01:45 PM	9.17		280			H
2022/04/03	Sun	07:42 PM	0.54		16			L
2022/04/04	Mon	01:56 AM	9.63		294			H
2022/04/04	Mon	08:10 AM	0.05		2			L
2022/04/04	Mon	02:25 PM	8.77		267			H
2022/04/04	Mon	08:20 PM	0.92		28			L
2022/04/05	Tue	02:34 AM	9.39		286			H
2022/04/05	Tue	08:51 AM	0.31		9			L
2022/04/05	Tue	03:06 PM	8.36		255			H
2022/04/05	Tue	09:01 PM	1.29		39			L
2022/04/06	Wed	03:15 AM	9.10		277			H
2022/04/06	Wed	09:35 AM	0.61		19			L
2022/04/06	Wed	03:50 PM	7.97		243			H
2022/04/06	Wed	09:44 PM	1.65		50			L
2022/04/07	Thu	03:59 AM	8.78		268			H
2022/04/07	Thu	10:22 AM	0.94		29			L
2022/04/07	Thu	04:38 PM	7.61		232			H
2022/04/07	Thu	10:32 PM	1.97		60			L
2022/04/08	Fri	04:48 AM	8.48		258			H
2022/04/08	Fri	11:14 AM	1.23		37			L
2022/04/08	Fri	05:32 PM	7.34		224			H
2022/04/08	Fri	11:25 PM	2.22		68			L
2022/04/09	Sat	05:43 AM	8.25		251			H
2022/04/09	Sat	12:10 PM	1.44		44			L
2022/04/09	Sat	06:31 PM	7.21		220			H
2022/04/10	Sun	12:23 AM	2.33		71			L
2022/04/10	Sun	06:43 AM	8.15		248			H
2022/04/10	Sun	01:09 PM	1.49		45			L
2022/04/10	Sun	07:31 PM	7.28		222			H
2022/04/11	Mon	01:22 AM	2.25		69			L
2022/04/11	Mon	07:43 AM	8.22		251			H
2022/04/11	Mon	02:05 PM	1.38		42			L
2022/04/11	Mon	08:26 PM	7.53		230			H
2022/04/12	Tue	02:19 AM	1.98		60			L
2022/04/12	Tue	08:38 AM	8.41		256			H
2022/04/12	Tue	02:56 PM	1.15		35			L
2022/04/12	Tue	09:15 PM	7.93		242			H
2022/04/13	Wed	03:12 AM	1.56		48			L
2022/04/13	Wed	09:29 AM	8.68		265			H
2022/04/13	Wed	03:42 PM	0.87		27			L
2022/04/13	Wed	09:59 PM	8.42		257			H
2022/04/14	Thu	04:00 AM	1.04		32			L
2022/04/14	Thu	10:15 AM	8.97		273			H
2022/04/14	Thu	04:25 PM	0.57		17			L
2022/04/14	Thu	10:40 PM	8.97		273			H
2022/04/15	Fri	04:46 AM	0.45		14			L
2022/04/15	Fri	11:00 AM	9.26		282			H
2022/04/15	Fri	05:06 PM	0.28		9			L
2022/04/15	Fri	11:19 PM	9.55		291			H
2022/04/16	Sat	05:30 AM	-0.14		-4			L
2022/04/16	Sat	11:43 AM	9.50		290			H
2022/04/16	Sat	05:47 PM	0.05		2			L
2022/04/16	Sat	11:59 PM	10.10		308			H
2022/04/17	Sun	06:14 AM	-0.67		-20			L
2022/04/17	Sun	12:27 PM	9.66		294			H
2022/04/17	Sun	06:29 PM	-0.10		-3			L
2022/04/18	Mon	12:41 AM	10.54		321			H
2022/04/18	Mon	07:00 AM	-1.05		-32			L
2022/04/18	Mon	01:13 PM	9.69		295			H
2022/04/18	Mon	07:13 PM	-0.14		-4			L
2022/04/19	Tue	01:26 AM	10.82		330			H
2022/04/19	Tue	07:48 AM	-1.23		-37			L
2022/04/19	Tue	02:01 PM	9.60		293			H
2022/04/19	Tue	08:00 PM	-0.05		-2			L
2022/04/20	Wed	02:14 AM	10.90		332			H
2022/04/20	Wed	08:40 AM	-1.21		-37			L
2022/04/20	Wed	02:54 PM	9.38		286			H
2022/04/20	Wed	08:52 PM	0.15		5			L
2022/04/21	Thu	03:07 AM	10.76		328			H
2022/04/21	Thu	09:36 AM	-1.00		-30			L
2022/04/21	Thu	03:51 PM	9.09		277			H
2022/04/21	Thu	09:48 PM	0.42		13			L
2022/04/22	Fri	04:06 AM	10.48		319			H
2022/04/22	Fri	10:35 AM	-0.69		-21			L
2022/04/22	Fri	04:53 PM	8.82		269			H
2022/04/22	Fri	10:50 PM	0.70		21			L
2022/04/23	Sat	05:09 AM	10.12		308			H
2022/04/23	Sat	11:38 AM	-0.37		-11			L
2022/04/23	Sat	06:00 PM	8.67		264			H
2022/04/23	Sat	11:56 PM	0.88		27			L
2022/04/24	Sun	06:18 AM	9.82		299			H
2022/04/24	Sun	12:44 PM	-0.13		-4			L
2022/04/24	Sun	07:09 PM	8.73		266			H
2022/04/25	Mon	01:06 AM	0.89		27			L
2022/04/25	Mon	07:29 AM	9.64		294			H
2022/04/25	Mon	01:50 PM	-0.03		-1			L
2022/04/25	Mon	08:14 PM	8.98		274			H
2022/04/26	Tue	02:14 AM	0.72		22			L
2022/04/26	Tue	08:35 AM	9.58		292			H
2022/04/26	Tue	02:51 PM	0.01		0			L
2022/04/26	Tue	09:14 PM	9.29		283			H
2022/04/27	Wed	03:18 AM	0.44		13			L
2022/04/27	Wed	09:36 AM	9.53		290			H
2022/04/27	Wed	03:46 PM	0.05		2			L
2022/04/27	Wed	10:07 PM	9.58		292			H
2022/04/28	Thu	04:14 AM	0.18		5			L
2022/04/28	Thu	10:30 AM	9.45		288			H
2022/04/28	Thu	04:35 PM	0.16		5			L
2022/04/28	Thu	10:54 PM	9.76		297			H
2022/04/29	Fri	05:04 AM	-0.01		-0			L
2022/04/29	Fri	11:19 AM	9.29		283			H
2022/04/29	Fri	05:18 PM	0.35		11			L
2022/04/29	Fri	11:36 PM	9.81		299			H
2022/04/30	Sat	05:48 AM	-0.08		-2			L
2022/04/30	Sat	12:03 PM	9.06		276			H
2022/04/30	Sat	05:57 PM	0.61		19			L
2022/05/01	Sun	12:14 AM	9.75		297			H
2022/05/01	Sun	06:28 AM	-0.05		-2			L
2022/05/01	Sun	12:43 PM	8.80		268			H
2022/05/01	Sun	06:34 PM	0.89		27			L
2022/05/02	Mon	12:49 AM	9.62		293			H
2022/05/02	Mon	07:05 AM	0.06		2			L
2022/05/02	Mon	01:21 PM	8.52		260			H
2022/05/02	Mon	07:10 PM	1.16		35			L
2022/05/03	Tue	01:24 AM	9.44		288			H
2022/05/03	Tue	07:43 AM	0.22		7			L
2022/05/03	Tue	01:58 PM	8.25		251			H
2022/05/03	Tue	07:47 PM	1.42		43			L
2022/05/04	Wed	02:01 AM	9.23		281			H
2022/05/04	Wed	08:22 AM	0.42		13			L
2022/05/04	Wed	02:37 PM	7.99		244			H
2022/05/04	Wed	08:27 PM	1.65		50			L
2022/05/05	Thu	02:39 AM	9.01		275			H
2022/05/05	Thu	09:04 AM	0.64		20			L
2022/05/05	Thu	03:19 PM	7.76		237			H
2022/05/05	Thu	09:10 PM	1.87		57			L
2022/05/06	Fri	03:22 AM	8.78		268			H
2022/05/06	Fri	09:50 AM	0.86		26			L
2022/05/06	Fri	04:05 PM	7.56		230			H
2022/05/06	Fri	09:57 PM	2.05		62			L
2022/05/07	Sat	04:10 AM	8.55		261			H
2022/05/07	Sat	10:38 AM	1.07		33			L
2022/05/07	Sat	04:55 PM	7.43		226			H
2022/05/07	Sat	10:49 PM	2.19		67			L
2022/05/08	Sun	05:02 AM	8.35		255			H
2022/05/08	Sun	11:30 AM	1.21		37			L
2022/05/08	Sun	05:50 PM	7.42		226			H
2022/05/08	Sun	11:45 PM	2.21		67			L
2022/05/09	Mon	05:59 AM	8.23		251			H
2022/05/09	Mon	12:25 PM	1.26		38			L
2022/05/09	Mon	06:46 PM	7.58		231			H
2022/05/10	Tue	12:43 AM	2.08		63			L
2022/05/10	Tue	06:58 AM	8.22		251			H
2022/05/10	Tue	01:18 PM	1.19		36			L
2022/05/10	Tue	07:40 PM	7.91		241			H
2022/05/11	Wed	01:40 AM	1.75		53			L
2022/05/11	Wed	07:55 AM	8.34		254			H
2022/05/11	Wed	02:09 PM	1.03		31			L
2022/05/11	Wed	08:29 PM	8.38		255			H
2022/05/12	Thu	02:35 AM	1.26		38			L
2022/05/12	Thu	08:48 AM	8.55		261			H
2022/05/12	Thu	02:57 PM	0.81		25			L
2022/05/12	Thu	09:15 PM	8.94		272			H
2022/05/13	Fri	03:26 AM	0.66		20			L
2022/05/13	Fri	09:38 AM	8.81		269			H
2022/05/13	Fri	03:44 PM	0.56		17			L
2022/05/13	Fri	10:00 PM	9.55		291			H
2022/05/14	Sat	04:15 AM	0.01		0			L
2022/05/14	Sat	10:28 AM	9.07		276			H
